Day,e=0,e=0.1,e=0.3,e=0.5
4.472368092,227.903493,237.2375785,284.651671,329.8425742
9.036009002,228.119951,238.0205616,290.7955389,344.644681
13.59964991,228.3281994,238.7158056,295.9081472,355.7130659
18.16329082,228.5232853,239.3079657,299.8740407,361.7305969
22.72693173,228.7008203,239.7840385,302.6247755,362.399959
27.29057264,228.8566555,240.1333514,304.1516316,358.5426881
31.85421355,228.9871038,240.3481786,304.5087519,351.5698066
36.41785446,229.0890071,240.4240294,303.8034336,342.8031163
40.98149537,229.1598848,240.3597812,302.1801057,333.3493786
45.54513628,229.1979163,240.1575071,299.8030064,323.9229105
50.10877719,229.2020246,239.8224689,296.8391781,314.8928894
54.6724181,229.1719435,239.3627897,293.4352598,306.4115754
59.23605901,229.1082069,238.7890735,289.6824816,298.5133665
63.79969992,229.0121925,238.1138247,285.6986497,291.1746851
68.36334084,228.8860829,237.3509794,281.5995929,284.3462749
72.92698175,228.7328379,236.5153518,277.4694719,277.9692931
77.49062266,228.5561487,235.6220529,273.3655307,271.982772
82.05426357,228.360354,234.686002,269.3239369,266.3265175
86.61790448,228.150325,233.7215103,265.3653189,260.9412584
91.18154539,227.9313345,232.7419059,261.4992832,255.7666327
95.7451863,227.70891,231.7593216,257.7270536,250.732264
100.3088272,227.4886863,230.7845531,254.0437678,245.6288695
104.8724681,227.2762437,229.8269882,250.4394382,239.9240028
109.436109,227.0769479,228.8946034,246.8983356,234.2216373
113.9997499,226.8958119,227.9940045,243.3967012,229.3885608
118.5633908,226.7373604,227.130522,239.8443181,225.2223298
123.1270318,226.6055314,226.3083256,235.922829,221.5776141
127.6906727,226.5035511,225.5305497,231.653774,218.3522328
132.2543136,226.433881,224.7994177,227.9518309,215.47175
136.8179545,226.3981673,224.1163602,224.8037634,212.8806289
141.3815954,226.3972045,223.4821292,222.0867561,210.5364518
145.9452363,226.4309211,222.8969104,219.7150517,208.4062622
150.5088772,226.4983966,222.360425,217.6266152,206.4640332
155.0725181,226.5978749,221.8720201,215.7754859,204.688895
159.636159,226.7268321,221.4307379,214.126864,203.0639938
164.1997999,226.8820287,221.0353872,212.6539819,201.5755935
168.7634409,227.0595961,220.6846088,211.3359348,200.2123662
173.3270818,227.2551069,220.376913,210.1562259,198.964949
177.8907227,227.4637541,220.1107231,209.101756,197.8256116
182.4543636,227.6803908,219.8844188,208.1620244,196.7879409
187.0180045,227.899688,219.6963779,207.3285482,195.8466297
191.5816454,228.1162414,219.544951,206.5945255,194.9973116
196.1452863,228.3246771,219.4284994,205.9545072,194.2364986
200.7089272,228.5200301,219.3456042,205.4042128,193.561468
205.2725681,228.6979069,219.2950735,204.9403717,192.9701625
209.8362091,228.8541527,219.2756614,204.5605259,192.4611102
214.39985,228.9850707,219.2861563,204.2627916,192.0334022
218.9634909,229.0874945,219.3254454,204.0459142,191.6866558
223.5271318,229.1589283,219.3924926,203.9092055,191.4210129
228.0907727,229.1975429,219.4863809,203.8524918,191.2371141
232.6544136,229.2022455,219.6063154,203.8760856,191.1361257
237.2180545,229.1727569,219.7516405,203.9807593,191.1198075
241.7816954,229.1095962,219.92187,204.1677471,191.1904631
246.3453363,229.0141268,220.1166988,204.4387453,191.3510464
250.9089772,228.8885175,220.3360217,204.79586,191.605186
255.4726182,228.7357148,220.5799633,205.2416618,191.9572508
260.0362591,228.559398,220.8489227,205.7791978,192.4124407
264.5999,228.3638951,221.1435486,206.4121144,192.9768994
269.1635409,228.1540695,221.4648105,207.1444657,193.6578404
273.7271818,227.9351886,221.8139878,207.9809526,194.4637168
278.2908227,227.712775,222.1926578,208.9268704,195.4044228
282.8544636,227.492465,222.6026776,209.9881595,196.4914942
287.4181045,227.2798405,223.0461491,211.1714186,197.738489
291.9817454,227.0802721,223.5253733,212.4839601,199.1612475
296.5453863,226.8987806,224.0427818,213.9338245,200.7784613
301.1090273,226.7398989,224.6007919,215.5298074,202.612178
305.6726682,226.6075772,225.2016382,217.2814309,204.6885128
310.2363091,226.5050545,225.8473291,219.1988511,207.0384651
314.79995,226.434806,226.5392404,221.2926845,209.6990252
319.3635909,226.3984925,227.2780702,223.5737027,212.7144541
323.9272318,226.3969236,228.0634256,226.052309,216.1378764
328.4908727,226.4300424,228.8936114,228.7376657,220.0331379
333.0545136,226.4969435,229.765371,231.636332,224.4766664
337.6181545,226.5958845,230.6736709,234.7503928,229.559165
342.1817954,226.7243548,231.6114901,238.2412396,235.3862016
346.7454364,226.8791264,232.5697005,244.7630626,244.9746484
351.3090773,227.0563417,233.5370597,252.8908442,259.9515118
355.8727182,227.2515801,234.5003143,261.3383641,276.8539141
360.4363591,227.460042,235.4444473,269.5983248,294.5578979
365,227.6765795,236.3530778,277.3637244,312.3166183
,,,,
,229.2022455,240.4240294,304.5087519,362.399959
,,,,
,226.3969236,219.2756614,203.8524918,191.1198075
